+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                 ;
+---------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                             ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u_axi_interconnect_full|rready_mux_M01                                                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|rready_mux_M00                                                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|rready_demux_M1                                               ; 3     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|rready_demux_M0                                               ; 3     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|Read_controller                                               ; 306   ; 4              ; 0            ; 4              ; 12     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|mux_m_addr                                                    ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|u_Faling_Edge_Detc                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|u_Raising_Edge_Det                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|u_Demux_Address_Read_Ready        ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|u_AR_HandShake_Checker            ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|u_Read_Addr_Channel_Dec           ; 68    ; 0              ; 0            ; 0              ; 257    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|arvalid_mux                       ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|arregion_mux                      ; 9     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|arqos_mux                         ; 9     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|arprot_mux                        ; 7     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|arcache_mux                       ; 9     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|arlock_mux                        ; 5     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|arburst_mux                       ; 5     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|arsize_mux                        ; 7     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|arlen_mux                         ; 17    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|araddr_mux                        ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top|u_Read_Arbiter                    ; 14    ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AR_Channel_Controller_Top                                   ; 144   ; 0              ; 12           ; 0              ; 257    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_BR_Channel_Controller_Top|u_Write_Resp_Channel_Dec          ; 4     ; 2              ; 0            ; 2              ; 12     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_BR_Channel_Controller_Top|u_Demux_1_2                       ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_BR_Channel_Controller_Top|u_BReady_MUX_2_1                  ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_BR_Channel_Controller_Top|u_Write_Resp_Channel_Arb          ; 19    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_BR_Channel_Controller_Top|u_WR_HandShake                    ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_BR_Channel_Controller_Top                                   ; 24    ; 0              ; 12           ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_WD_Channel_Controller_Top|u_WD_MUX_2_1_2                    ; 77    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_WD_Channel_Controller_Top|u_WD_MUX_2_1                      ; 77    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_WD_Channel_Controller_Top|u_Demux_Write_Data_Ready2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_WD_Channel_Controller_Top|u_Demux_Write_Data_Ready          ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_WD_Channel_Controller_Top|u_WD_HandShake2                   ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_WD_Channel_Controller_Top|u_WD_HandShake                    ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_WD_Channel_Controller_Top|u_Queue2                          ; 6     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_WD_Channel_Controller_Top|u_Queue                           ; 6     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_WD_Channel_Controller_Top                                   ; 87    ; 0              ; 2            ; 0              ; 85     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AW_Channel_Controller_Top|u_Write_Addr_Channel_Dec          ; 64    ; 2              ; 0            ; 2              ; 245    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AW_Channel_Controller_Top|u_AW_MUX_2_1                      ; 119   ; 0              ; 0            ; 0              ; 59     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AW_Channel_Controller_Top|u_Demux_Address_Write_Ready       ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AW_Channel_Controller_Top|u_Address_Write_HandShake_Checker ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AW_Channel_Controller_Top|u_Raising_Edge_Det                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AW_Channel_Controller_Top|u_Faling_Edge_Detc                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AW_Channel_Controller_Top|u_Qos_Arbiter                     ; 14    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full|u_AW_Channel_Controller_Top                                   ; 131   ; 9              ; 9            ; 9              ; 138    ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect_full                                                               ; 754   ; 0              ; 0            ; 0              ; 538    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+---------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
