+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                ;
+------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u_axi_interconnect|u_full_interconnect|u_BR_Channel_Controller_Top|u_WR_HandShake                    ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_BR_Channel_Controller_Top                                   ; 24    ; 0              ; 12           ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_WD_Channel_Controller_Top|u_WD_MUX_2_1_2                    ; 77    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_WD_Channel_Controller_Top|u_WD_MUX_2_1                      ; 77    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_WD_Channel_Controller_Top|u_Demux_Write_Data_Ready2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_WD_Channel_Controller_Top|u_Demux_Write_Data_Ready          ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_WD_Channel_Controller_Top|u_WD_HandShake2                   ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_WD_Channel_Controller_Top|u_WD_HandShake                    ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_WD_Channel_Controller_Top|u_Queue2                          ; 6     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_WD_Channel_Controller_Top|u_Queue                           ; 6     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_WD_Channel_Controller_Top                                   ; 87    ; 0              ; 2            ; 0              ; 85     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_AW_Channel_Controller_Top|u_Write_Addr_Channel_Dec          ; 64    ; 2              ; 0            ; 2              ; 245    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_AW_Channel_Controller_Top|u_AW_MUX_2_1                      ; 119   ; 0              ; 0            ; 0              ; 59     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_AW_Channel_Controller_Top|u_Demux_Address_Write_Ready       ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_AW_Channel_Controller_Top|u_Address_Write_HandShake_Checker ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_AW_Channel_Controller_Top|u_Raising_Edge_Det                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_AW_Channel_Controller_Top|u_Faling_Edge_Detc                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_AW_Channel_Controller_Top|u_Qos_Arbiter                     ; 14    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect|u_AW_Channel_Controller_Top                                   ; 131   ; 9              ; 9            ; 9              ; 138    ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect|u_full_interconnect                                                               ; 634   ; 306            ; 10           ; 306            ; 612    ; 306             ; 306           ; 306             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_axi_interconnect                                                                                   ; 434   ; 54             ; 0            ; 54             ; 504    ; 54              ; 54            ; 54              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1_adapter                                                                                      ; 286   ; 0              ; 82           ; 0              ; 202    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0_adapter                                                                                      ; 286   ; 0              ; 82           ; 0              ; 202    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_wb2axi_data                                                                                ; 122   ; 0              ; 13           ; 0              ; 207    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_wb2axi_inst                                                                                ; 77    ; 0              ; 9            ; 0              ; 101    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|cpu|gen_csr.csr                                                                  ; 26    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|cpu|mem_if                                                                       ; 10    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|cpu|rf_if                                                                        ; 36    ; 5              ; 0            ; 5              ; 32     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|cpu|alu                                                                          ; 14    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|cpu|ctrl                                                                         ; 16    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|cpu|bufreg2                                                                      ; 47    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|cpu|bufreg                                                                       ; 18    ; 2              ; 7            ; 2              ; 67     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|cpu|immdec                                                                       ; 38    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|cpu|decode                                                                       ; 32    ; 1              ; 17           ; 1              ; 57     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|cpu|state                                                                        ; 23    ; 1              ; 2            ; 1              ; 24     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|cpu                                                                              ; 105   ; 0              ; 34           ; 0              ; 202    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|rf_ram                                                                           ; 25    ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core|rf_ram_if                                                                        ; 34    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1|u_serv_core                                                                                  ; 102   ; 33             ; 0            ; 33             ; 172    ; 33              ; 33            ; 33              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv1                                                                                              ; 94    ; 0              ; 0            ; 0              ; 242    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_wb2axi_data                                                                                ; 122   ; 0              ; 13           ; 0              ; 207    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_wb2axi_inst                                                                                ; 77    ; 0              ; 9            ; 0              ; 101    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|cpu|gen_csr.csr                                                                  ; 26    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|cpu|mem_if                                                                       ; 10    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|cpu|rf_if                                                                        ; 36    ; 5              ; 0            ; 5              ; 32     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|cpu|alu                                                                          ; 14    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|cpu|ctrl                                                                         ; 16    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|cpu|bufreg2                                                                      ; 47    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|cpu|bufreg                                                                       ; 18    ; 2              ; 7            ; 2              ; 67     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|cpu|immdec                                                                       ; 38    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|cpu|decode                                                                       ; 32    ; 1              ; 17           ; 1              ; 57     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|cpu|state                                                                        ; 23    ; 1              ; 2            ; 1              ; 24     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|cpu                                                                              ; 105   ; 0              ; 34           ; 0              ; 202    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|rf_ram                                                                           ; 25    ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core|rf_ram_if                                                                        ; 34    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0|u_serv_core                                                                                  ; 102   ; 33             ; 0            ; 33             ; 172    ; 33              ; 33            ; 33              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_serv0                                                                                              ; 94    ; 0              ; 0            ; 0              ; 242    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
